Winner ID	Winner Name	Winner Score	Winner Elo	Winner RD	Loser ID	Loser Name	Loser Score	Loser Elo	Loser RD	Timestamp	Index
345026013253861396	BigNick	13	1828.741437	70.98506378	295390108365094913	RuckusTheory	12	1482.715331	67.07172939	Dec/16/2022 at 03:22:16	1,151
295390108365094913	RuckusTheory	5	1500.115643	66.83822527	338507587966205953	seth	3	1608.872722	64.34292195	Dec/16/2022 at 14:36:34	1,152
336528791549640716	Stuffed Flatbread	12	1857.161842	86.73427594	295390108365094913	RuckusTheory	2	1497.012072	67.13339286	Dec/16/2022 at 15:48:03	1,153
338507587966205953	seth	8	1618.914081	64.13221536	493885737889038350	Matt	4	1550.327041	68.74752194	Dec/16/2022 at 15:51:30	1,154
338507587966205953	seth	13	1625.459262	64.42007283	198260557483081728	chrisdoesit	3	1395.259413	234.2702209	Dec/16/2022 at 16:17:10	1,155
289217674708516865	Clutch1908	9	1801.663375	69.18827736	152837146049380352	heckaroni	1	1521.8986	73.35336237	Dec/16/2022 at 16:38:38	1,156
152837146049380352	heckaroni	3	1529.142701	72.96932472	689137796648271998	antoniogr98	2	1307.409098	94.15122361	Dec/16/2022 at 17:43:55	1,157
330320859229061122	Super63	8	1702.776759	69.90818034	521481166138769428	AJ3961	2	1657.539928	65.29821247	Dec/16/2022 at 18:35:28	1,158
317495021106495488	duckydonne	15	1383.50492	72.96429874	883104087430795335	DoubleTay	0	1289.554091	235.7429327	Dec/16/2022 at 19:09:07	1,159
613483843537862675	Sam N	13	1681.329873	72.6347386	883104087430795335	DoubleTay	2	1262.163914	219.0845473	Dec/16/2022 at 20:08:19	1,160
198260557483081728	chrisdoesit	11	1465.941573	207.3851421	883104087430795335	DoubleTay	0	1198.94935	197.4570277	Dec/16/2022 at 20:37:29	1,161
